measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Thailand,Male,All ages,Mental disorders,Percent,2015,0.1311968080188202,0.1441479380030759,0.1198521531335808
Prevalence,Thailand,Female,All ages,Mental disorders,Percent,2015,0.1280005511911106,0.1413632662486195,0.1162945766927702
Prevalence,Thailand,Both,All ages,Mental disorders,Percent,2015,0.1295405363186926,0.141394371667585,0.1185227979022505
Prevalence,Thailand,Male,All ages,Mental disorders,Rate,2015,12636.750541088659,13885.866910789851,11532.39360794589
Prevalence,Thailand,Female,All ages,Mental disorders,Rate,2015,12534.603009845348,13824.77592689424,11405.07170562313
Prevalence,Thailand,Both,All ages,Mental disorders,Rate,2015,12584.23913469625,13726.193507980768,11527.71590871064
Prevalence,Thailand,Male,All ages,Mental disorders,Percent,2016,0.1310886502775249,0.1439065414164824,0.1198170623690844
Prevalence,Thailand,Female,All ages,Mental disorders,Percent,2016,0.1282825213108397,0.1416546814263728,0.1168581363125178
Prevalence,Thailand,Both,All ages,Mental disorders,Percent,2016,0.1296330548251598,0.1411190641337791,0.1185645959464941
Prevalence,Thailand,Male,All ages,Mental disorders,Rate,2016,12630.33158066271,13855.38731737324,11535.520472398079
Prevalence,Thailand,Female,All ages,Mental disorders,Rate,2016,12566.70656977666,13853.193742669431,11445.25562031099
Prevalence,Thailand,Both,All ages,Mental disorders,Rate,2016,12597.59015106842,13718.25586763582,11530.15985329937
Prevalence,Thailand,Male,All ages,Mental disorders,Percent,2017,0.1309957788001018,0.1436408282653687,0.1196018355174923
Prevalence,Thailand,Female,All ages,Mental disorders,Percent,2017,0.1285758640702161,0.1417816591181141,0.1168136092463581
Prevalence,Thailand,Both,All ages,Mental disorders,Percent,2017,0.1297392663639741,0.1410778701254309,0.1187487749242995
Prevalence,Thailand,Male,All ages,Mental disorders,Rate,2017,12624.766500398098,13823.821722887911,11538.34625808248
Prevalence,Thailand,Female,All ages,Mental disorders,Rate,2017,12600.089384429968,13862.769211236631,11443.20521424408
Prevalence,Thailand,Both,All ages,Mental disorders,Rate,2017,12612.05519735804,13724.42440827864,11550.36872541964
Prevalence,Thailand,Male,All ages,Mental disorders,Percent,2018,0.1309095964617384,0.1432314169257041,0.1194722282626799
Prevalence,Thailand,Female,All ages,Mental disorders,Percent,2018,0.1288494643047014,0.1419774815297437,0.116903166719462
Prevalence,Thailand,Both,All ages,Mental disorders,Percent,2018,0.1298388576732878,0.1412916196245746,0.1184089993067849
Prevalence,Thailand,Male,All ages,Mental disorders,Rate,2018,12620.642505729678,13792.32330223727,11523.77350525172
Prevalence,Thailand,Female,All ages,Mental disorders,Rate,2018,12631.81201491995,13902.258100864152,11466.85662474337
Prevalence,Thailand,Both,All ages,Mental disorders,Rate,2018,12626.40163515309,13747.116699918219,11531.17084383174
Prevalence,Thailand,Male,All ages,Mental disorders,Percent,2019,0.1308203441073293,0.1430997962910435,0.1190443792011633
Prevalence,Thailand,Female,All ages,Mental disorders,Percent,2019,0.1290668006654479,0.1422335245048103,0.1167532742115706
Prevalence,Thailand,Both,All ages,Mental disorders,Percent,2019,0.1299080753075973,0.1415071741928727,0.1182369340843182
Prevalence,Thailand,Male,All ages,Mental disorders,Rate,2019,12617.91616980187,13799.83906533427,11502.43187070385
Prevalence,Thailand,Female,All ages,Mental disorders,Rate,2019,12658.21167325652,13926.373459589238,11460.69509147825
Prevalence,Thailand,Both,All ages,Mental disorders,Rate,2019,12638.714744649222,13768.30847075989,11496.11781868704
Prevalence,Thailand,Male,All ages,Mental disorders,Percent,2020,0.1325137730773227,0.1469753237682459,0.1183179208763656
Prevalence,Thailand,Female,All ages,Mental disorders,Percent,2020,0.1319054378034238,0.1505064451006769,0.1165391131271649
Prevalence,Thailand,Both,All ages,Mental disorders,Percent,2020,0.1321970678108478,0.1473388612049434,0.1177253196057807
Prevalence,Thailand,Male,All ages,Mental disorders,Rate,2020,12790.41524926397,14178.69571815345,11421.3895574524
Prevalence,Thailand,Female,All ages,Mental disorders,Rate,2020,12942.78951552638,14785.75175155959,11439.24659506515
Prevalence,Thailand,Both,All ages,Mental disorders,Rate,2020,12869.14748045554,14320.61698152246,11463.83875576508
Prevalence,Thailand,Male,All ages,Mental disorders,Percent,2021,0.1355537295655156,0.1505916158689023,0.1228328422587549
Prevalence,Thailand,Female,All ages,Mental disorders,Percent,2021,0.1375924214984043,0.1562538897927406,0.1215527033303539
Prevalence,Thailand,Both,All ages,Mental disorders,Percent,2021,0.1366164365450334,0.1524178144968715,0.1230721131931438
Prevalence,Thailand,Male,All ages,Mental disorders,Rate,2021,13097.785900593359,14570.721852379009,11828.60279454417
Prevalence,Thailand,Female,All ages,Mental disorders,Rate,2021,13506.90443401888,15347.47420435082,11941.75859572051
Prevalence,Thailand,Both,All ages,Mental disorders,Rate,2021,13309.413892401812,14876.01718087162,11972.361983570801
Prevalence,Sri Lanka,Male,All ages,Mental disorders,Percent,2015,0.1127087131663782,0.1235233314455688,0.1030312499341903
Prevalence,Sri Lanka,Female,All ages,Mental disorders,Percent,2015,0.1191302637252649,0.1320920261230798,0.1076309135776524
Prevalence,Sri Lanka,Both,All ages,Mental disorders,Percent,2015,0.1160543938309889,0.1277824203580042,0.1062321094951247
Prevalence,Sri Lanka,Male,All ages,Mental disorders,Rate,2015,10741.82864541107,11740.32759066821,9845.375965988009
Prevalence,Sri Lanka,Female,All ages,Mental disorders,Rate,2015,11584.21568834009,12841.8347667361,10459.55470801831
Prevalence,Sri Lanka,Both,All ages,Mental disorders,Rate,2015,11176.50427535168,12313.09371803379,10204.408717888951
Prevalence,Sri Lanka,Male,All ages,Mental disorders,Percent,2016,0.1130282010374825,0.1235202249063663,0.1032698804861054
Prevalence,Sri Lanka,Female,All ages,Mental disorders,Percent,2016,0.1194488856620131,0.1326665839112357,0.1082442575272103
Prevalence,Sri Lanka,Both,All ages,Mental disorders,Percent,2016,0.1163758982911828,0.1278672108798245,0.106802909429466
Prevalence,Sri Lanka,Male,All ages,Mental disorders,Rate,2016,10768.29620549627,11753.4337939857,9845.35459027775
Prevalence,Sri Lanka,Female,All ages,Mental disorders,Rate,2016,11615.114259373111,12905.82270111576,10523.134657049291
Prevalence,Sri Lanka,Both,All ages,Mental disorders,Rate,2016,11205.508187944579,12312.50039324596,10262.38662869258
Prevalence,Sri Lanka,Male,All ages,Mental disorders,Percent,2017,0.1134132657179679,0.1236621104060034,0.1037513237322301
Prevalence,Sri Lanka,Female,All ages,Mental disorders,Percent,2017,0.1198695233895957,0.1335038533789976,0.1089219415369129
Prevalence,Sri Lanka,Both,All ages,Mental disorders,Percent,2017,0.1167817918352598,0.1282160155461733,0.1072449585224877
Prevalence,Sri Lanka,Male,All ages,Mental disorders,Rate,2017,10801.526803694,11763.02295582897,9884.50795973736
