Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026]
Afghanistan,AFG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,100.07171,97.64164,103.49239,104.49843,105.91971,103.53452,102.48647,102.17579,103.99616,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,67.41914,63.55974,63.44026,62.23646,62.59302,62.14208,63.23397,66.32325,68.90156,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,4.71624,6.68899,..,..,9.94819,8.68637,8.79763,..,6.27012,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)",UIS.GER.5T8.GPIA,..,0.34565,..,..,0.276,..,..,..,0.34523,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,3.62226,..,..,8.23068,..,..,..,9.68642,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of qualified teachers in pre-primary education, adjusted gender parity index (GPIA)",UIS.QUTP.02.GPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of qualified teachers in pre-primary education, both sexes (%)",UIS.QUTP.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of qualified teachers in primary education, adjusted gender parity index (GPIA)",UIS.QUTP.1.GPIA,..,..,..,..,..,..,1.18553,1.15776,1.13726,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of qualified teachers in primary education, both sexes (%)",UIS.QUTP.1,..,..,..,..,..,..,76.01349,76.01306,79.06594,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of qualified teachers in lower secondary education, adjusted gender parity index (GPIA)",UIS.QUTP.2.GPIA,..,..,..,..,..,1.2156,1.18043,1.15777,1.13731,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of qualified teachers in lower secondary education, both sexes (%)",UIS.QUTP.2,..,..,..,..,..,66.07651,71.54982,76.00108,79.0362,..,..,..,..,..,..,..,..
